Date,Time,Duration,Action,Description,Impression/Follow up task
24/08/2021,08:30,0.25,Tidy Kitchen,"Put away some dishes, loaded the washer","Small task, not huge impact, daily thing "
24/08/2021,09:40,0.25,Water Plants,"Looked at the outdoor plants, no need to water","Refreshing, plants need water later today"
24/08/2021,10:00,1.5,Learn Python,Learned about pandas dataframes and plotted some of my data,would like to make an actual use case
24/08/2021,12:00,0.75,Workout,Weighted pull up eccentrics mainly,new pr! 37lbs for 8 slow reps
24/08/2021,13:30,1.5,Video Editing,Worked on the plant timelapse video,not as interesting as expected 
24/08/2021,18:00,1,Walk,Walked 3km with Ashley,knee felt good.
24/08/2021,19:00,3.5,Watch TV,Youtube + watched Seven Psychopaths with Ashley,Ashley wants to do more in our evenings now
25/08/2021,07:30,0.25,Stretching,Did stretches and mobility as a warm up for the day,Felt good. Need to start with this 
25/08/2021,08:00,0.5,Tidy Kitchen,"Emptied sink and wiped counters, cleaned french presses, trash out",Keep the momentum going 
25/08/2021,09:30,0.5,Study ML,Only did two small lessons-,
25/08/2021,11:30,2.5,Phone PPL,"Talked with Dad, Catherine, Nate, Rizwan",
25/08/2021,14:00,0.25,Water Plants,,
25/08/2021,14:45,1.5,Ride bike,Fun. Didn't go far. Knee felt good. ,
25/08/2021,16:15,0.5,Learn Python,Learned about python in animation pipelines,Make a list of the things i can automate 
25/08/2021,17:45,0.25,Make Dinner,Reheated pulled pork and buns ,
25/08/2021,19:00,1.5,Walk,"40min walk each way, grabbed a book on parenting toddlers",read 20 pages a day 
26/08/2021,09:30,0.5,Phone PPL,Had a nice talk with Arturo,
26/08/2021,10:15,0.5,Learn Blender,Learned simple interface add on- good idea for tool building,make a tool in this 
26/08/2021,11:30,0.5,Workout,"Push, HSPU, Dips, pike push ups - blasted!!1",
26/08/2021,12:00,0.5,Philosophy,Breakdown on Ralph Bashki's LOTR- ,
26/08/2021,12:30,1.5,Learn Python,"Not focused, blender scripting, Dash, Pandas data sci, ",
26/08/2021,14:00,0.25,Philosophy,Listened to MA Meditations for ten minutes,got high first does it still count
26/08/2021,14:30,1.5,Learn Python,How to make a list of urls and display an iframe video,Beginner dashboard Music 2017
26/08/2021,16:30,0.5,Eat Dinner,Pulled pork again reheated but we finished it,Next week need to focus on eating healthy 
26/08/2021,17:00,0.25,Tidy Kitchen,Quick because we didn't use anything new,Need to do a full clean up of the house tomorrow
26/08/2021,18:00,0.75,Shower/shave,Looking fresh,
26/08/2021,19:00,2.5,Comedy,Did okay. Yuk yuks,Need to work more on punchlines first minute
26/08/2021,23:15,0.25,Make Food,"Ashley taught me how to make seedy bread, very fun - made bread!",I can do this more often
27/08/2021,08:30,0.25,Philosophy,"Short listening, but did get me pumped up",Book one - life lessons
27/08/2021,09:00,0.5,Day Planning,"Prep for trip, make bread, clip weed, clean house, do lil project",Gotta be more realistic about how much time
27/08/2021,09:30,0.25,Tidy Kitchen,,Need to wash the floors
27/08/2021,10:00,1.5,Trim Weed,"Super fun, think I am getting better at it",
27/08/2021,11:30,0.5,Prepare Bread,Hands are super sticky,
27/08/2021,12:00,0.25,Make Food,Standard smoothie goodness,
27/08/2021,12:15,0.25,Phone PPL,Quick convo  with Rob about the trip,Plan trip Oct 25?
27/08/2021,12:30,0.25,Packing,Some things for trip,
27/08/2021,13:00,0.5,Make Food,,
27/08/2021,14:00,2,Oil change,,
27/08/2021,,0.5,Physio,,
27/08/2021,,0.6,Packing,pack up the car,
27/08/2021,,0.5,Packing,pack up the cooler,
27/08/2021,16:30,0.25,Ready to go,,
30/08/2021,08:30,0.5,Coffee w/ Ash,,
30/08/2021,09:30,1,Groceries,,
30/08/2021,10:30,0.5,Make Butter,Decarb at 170 for 15 min - divide 6 oz /2lb melted butter in slocook,
30/08/2021,11:30,0.5,Philosophy,Appreciating beauty - on death and being in the present,
30/08/2021,13:00,0.5,Cat Care,Get cat food,
30/08/2021,14:00,0.5,Learn Blender,Creating an add on in the interface,Make a blender add on for ramp builder 
30/08/2021,17:00,0.75,Make Food,made dinner ,
30/08/2021,17:45,0.25,Tidy Kitchen,,
30/08/2021,18:00,2,Relax,,
30/08/2021,20:00,0.5,Walk,Walking Ashley about 3km,
30/08/2021,21:45,1.5,Make Butter,,
30/08/2021,23:55,0.45,Tidy Kitchen,,
31/08/2021,08:30,0.5,Coffee w/ Ash,,
31/08/2021,09:30,0.75,Philosophy,On being remembered and permanance. Be good. Praise is never a need,"Everyone is forgotten, live well now"
31/08/2021,10:00,0.75,Relax,Screwed around for a full hour... Need to earn my rest,Stop wasting time like this.Right after philosophy too
31/08/2021,11:30,0.5,Recap,Replayed yesterday and started thinking about today,"Need to plan my day at the start, recap at the end"
31/08/2021,,0.25,Day Planning,Adding night routine where I tidy the kitchen before bed,Ashley gets antsy in the mornings when having to clean
01/09/2021,08:30,0.5,Tidy Kitchen,,
01/09/2021,09:00,1.5,Packing,,
01/09/2021,10:30,3,Driving,Drive to YEG,
01/09/2021,19:00,1,Van Gogh Exp,,
02/09/2021,01:00,1.5,Warhammer,Played first game with Treydan,Need to learn/read/paint the model he gave me 
02/09/2021,11:30,1,Lunch w/Faisal,Had a burger with Faisal then walked around his neighbourhood,
02/09/2021,16:00,2.5,Relax,Had like 4 pints and then went to Dan's place - drank with dan,
03/09/2021,05:30,3,Driving,"Drive to YYC Did not call Ashley the night before, we got in a fight.",She was really hurt. My drinking hurt her. 
03/09/2021,09:00,2,Sleep,"Slept in our bed a bit, felt shitty",
03/09/2021,11:30,3,Tidy House,Get ready for Ariel and Rob to come over ,
03/09/2021,17:30,1,Buy beer,"Got enough beer for the weekend to share, didn't share",
03/09/2021,20:30,2.5,Fire,"Hosted a fire with Ariel, Rob, April, Steve",
04/09/2021,09:30,2,Tidy House,Got the house cleaned back up for my Dad to come over ,
04/09/2021,14:00,3,Hung w/Dad,Basically just chilled around the place ,
04/09/2021,17:30,1,Make Food,Made dinner: BBQ'd turkey burgers and made a simple salad,Was tasty and successful
